City,Provinsi,Cabang,Alamat,lat,lon
Jakarta Barat,DKI Jakarta,KCP Mal Ciputra,"Mal Ciputra LG II No. 24-28, Jln. Arteri S. Parman, Slipi. Jakarta Barat, 11470",-6.1683247,106.7842204
Jakarta Barat,DKI Jakarta,KCP Mal Taman Anggrek,"Lower Ground Lot. C 07, Jln. S. Parman Kav. 21, Slipi. Jakarta Barat, 11470",-6.1787038,106.7904102
Jakarta Barat,DKI Jakarta,KCP Mandala,"Jln. Hayam Wuruk No. 111. Jakarta Barat, 11160",-6.1583764,106.8168326
Jakarta Barat,DKI Jakarta,KCP Mandala Raya,"Jln. Mandala Raya 14. Jakarta Barat, 11440",-6.17585,106.7970563
Jakarta Barat,DKI Jakarta,KCP Mangga Besar,"Jln. Raya Mangga Besar 15. Jakarta Barat, 11180",-6.1493149,106.8168923
Jakarta Barat,DKI Jakarta,KCP Mangga Besar VIII,"Jln. Mangga Besar VIII No.12 A-F. Jakarta Barat, 11150",0,0
Jakarta Barat,DKI Jakarta,KCP Mutiara Taman Palem,"Ruko Mutiara Taman Palem, Jl. Lingkar Luar Kamal Raya, Perum Perumnas Blok A/2 No.7-8 Cengkareng. Jakarta Barat, 11730",-6.1391119,106.7285634
Jakarta Barat,DKI Jakarta,KCP Palmerah,"Jln. Palmerah Barat 38 A. Jakarta Barat, 11210",-6.2071389,106.7840952
Jakarta Barat,DKI Jakarta,KCP Pasar Puri Indah,"Jl.Raya Puri Indah Blok A/20-22 Kembangan, Jakarta 11610. Jakarta Barat, 11610",-6.1847001,106.7510957
Jakarta Barat,DKI Jakarta,KCP Pejagalan,"Jln. Pejagalan I No. 3E. Jakarta Barat, 11240",0,0
Jakarta Barat,DKI Jakarta,KCP Perniagaan Timur,"Jln. Perniagaan Timur 35. Jakarta Barat, 11230",-6.1406425,106.8077082
Jakarta Barat,DKI Jakarta,KCP Pinangsia,"Jln. Pinangsia II No.3 & 3A. Jakarta Barat, 11110",-6.1399265,106.8124725
Jakarta Barat,DKI Jakarta,KCP Puri Botanical,"Jl. Joglo Raya, Rukan Botanic Junction Blok I 10 No. 53 & 55. Jakarta Barat, 11640",-6.2192144,106.7404088
Jakarta Barat,DKI Jakarta,KCP Puri Kembangan,"Jln. Raya Kembangan No. 3A. Jakarta Barat, 11610",-6.1766654,106.7456821
Jakarta Barat,DKI Jakarta,KCP Puri Mansion,"Komplek Ruko Puri Mansion Blok B No. 30, 31 dan 32, Jl. Lingkar Luar Barat, Puri Kembangan. Jakarta Barat, 11610",-6.180145,106.7256023
Jakarta Barat,DKI Jakarta,KCP Rantai Mulia Kencana,"Jln. Pesanggrahan No. 28-29, Puri Kencana Kembangan Selatan. Jakarta Barat, 11620",-6.1903354,106.7527978
Jakarta Barat,DKI Jakarta,KCP Relasi Indah,"Jl.Panjang No.11 (Arteri Kelapa Dua). Jakarta Barat, 11550",-6.203322,106.7669673
Jakarta Barat,DKI Jakarta,KCP Ricci,"Sekolah Ricci, Jln. Kemenangan III/70. Jakarta Barat, 11120",-6.14338,106.8093783
Jakarta Barat,DKI Jakarta,KCP Roxy Square,"Gedung Roxy Square – Basement Blok A2, Jln. Kyai Tapa no.1. Jakarta Barat, 11440",-6.1664164,106.79702
Jakarta Barat,DKI Jakarta,KCP Seasons City,"Komp. Ruko Season City Blok E No. 8-9 Jembatan Besi. Jakarta Barat, 11320",-6.1532708,106.7948048
Jakarta Barat,DKI Jakarta,KCP Sunrise Garden,"Jln. Surya Utama Blok V/31. Jakarta Barat, 11520",-6.1714071,106.7601957
Jakarta Barat,DKI Jakarta,KCP Taman Aries,"Jl.Taman Aries Blok E1 No.2A & 2B Meruya Utara. Jakarta Barat, 11620",-6.1917022,106.7472638
