City,Provinsi,Cabang,Alamat
Jakarta Barat,DKI Jakarta,CO Roxy Square,"Gedung Roxy Square,  Lantai Lower Groud Blok C3 No.7-8,  Jl. Kyai Tapa No. 1  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO RS. Royal Taruma,"Jl. Daan Mogot No. 34  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Sunrise Garden,"Perumahan Sunrise Garden  Jl. Panjang Raya No. 9 E  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Taman Aries,"Rukan Kencana Niaga I,  Jl. Taman Aries Blok D1-1L  Kembangan  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Taman Duta Mas,"Ruko Taman Dua Mas Blok A3/46,  Grogol, Petamburan  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Taman Kencana,"Ruko Perumahan Taman Kencana Blok CI No. 12  Tegal Alur – Cengkareng  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Taman Permata Buana,"Ruko Taman Permata Buana,  Jl. Pulau Bira III Blok D1 Kav.47,  Kembangan  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Tanjung Duren Raya,"Jl. Tanjung Duren Raya Blok Z III Kav. 683 SEB  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Universitas Tarumanegara,"Kampus Universitas Tarumanegara,  Jl. Letjen. S. Parman No.1  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,PB Jkt Kebon Jeruk,"Jl. Perjuangan No. 9 B,  Kebon Jeruk  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,PB Jkt Kyai Tapa,"Jl. Kyai Tapa No. 99  Jakarta Barat, JK"
Jakarta Selatan,DKI Jakarta,KC Falatehan,"Jl. Falatehan I No.44  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KC Fatmawati,"Jl. R.S. Fatmawati No. 8,  Cilandak  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KC Plaza Mandiri,"Jl. Jend. Gatot Subroto Kav. 36-38  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KC Pondok Indah,"Jl. Metro Pondok Indah  Kav. II UA No. 48-50  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KC Sudirman,"Plaza Bapindo,  Jl. Jend. Sudirman Kav. 54-55  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KC Tebet Supomo,"Jl. Prof. Dr. Supomo, SH No. 43,  Tebet  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KCP Ambassador,"Mall Ambassador,  Jl. Prof. Dr. Satrio  Jakarta Selatan, JK"
